Point_Index,Sweep_Timestamp,Temperature_C,Frequency_Hz,Real_S11,Imag_S11,Current_Step
103,2025-12-08 13:13:50,-0.05,10200490000.0,7.07106803666e-11,7.07106803666e-11,3
104,2025-12-08 13:13:50,-0.05,10300485000.0,7.07106803666e-11,7.07106803666e-11,3
105,2025-12-08 13:13:50,-0.05,10400480000.0,7.07106803666e-11,7.07106803666e-11,3
106,2025-12-08 13:13:50,-0.05,10500475000.0,7.07106803666e-11,7.07106803666e-11,3
107,2025-12-08 13:13:50,-0.05,10600470000.0,7.07106803666e-11,7.07106803666e-11,3
108,2025-12-08 13:13:50,-0.05,10700465000.0,7.07106803666e-11,7.07106803666e-11,3
109,2025-12-08 13:13:50,-0.05,10800460000.0,7.07106803666e-11,7.07106803666e-11,3
110,2025-12-08 13:13:50,-0.05,10900455000.0,7.07106803666e-11,7.07106803666e-11,3
111,2025-12-08 13:13:50,-0.05,11000450000.0,7.07106803666e-11,7.07106803666e-11,3
112,2025-12-08 13:13:50,-0.05,11100445000.0,7.07106803666e-11,7.07106803666e-11,3
113,2025-12-08 13:13:50,-0.05,11200440000.0,7.07106803666e-11,7.07106803666e-11,3
114,2025-12-08 13:13:50,-0.05,11300435000.0,7.07106803666e-11,7.07106803666e-11,3
115,2025-12-08 13:13:50,-0.05,11400430000.0,7.07106803666e-11,7.07106803666e-11,3
116,2025-12-08 13:13:50,-0.05,11500425000.0,7.07106803666e-11,7.07106803666e-11,3
117,2025-12-08 13:13:50,-0.05,11600420000.0,7.07106803666e-11,7.07106803666e-11,3
118,2025-12-08 13:13:50,-0.05,11700415000.0,7.07106803666e-11,7.07106803666e-11,3
119,2025-12-08 13:13:50,-0.05,11800410000.0,7.07106803666e-11,7.07106803666e-11,3
120,2025-12-08 13:13:50,-0.05,11900405000.0,7.07106803666e-11,7.07106803666e-11,3
121,2025-12-08 13:13:50,-0.05,12000400000.0,7.07106803666e-11,7.07106803666e-11,3
122,2025-12-08 13:13:50,-0.05,12100395000.0,7.07106803666e-11,7.07106803666e-11,3
123,2025-12-08 13:13:50,-0.05,12200390000.0,7.07106803666e-11,7.07106803666e-11,3
124,2025-12-08 13:13:50,-0.05,12300385000.0,7.07106803666e-11,7.07106803666e-11,3
125,2025-12-08 13:13:50,-0.05,12400380000.0,7.07106803666e-11,7.07106803666e-11,3
126,2025-12-08 13:13:50,-0.05,12500375000.0,7.07106803666e-11,7.07106803666e-11,3
127,2025-12-08 13:13:50,-0.05,12600370000.0,7.07106803666e-11,7.07106803666e-11,3
128,2025-12-08 13:13:50,-0.05,12700365000.0,7.07106803666e-11,7.07106803666e-11,3
129,2025-12-08 13:13:50,-0.05,12800360000.0,7.07106803666e-11,7.07106803666e-11,3
130,2025-12-08 13:13:50,-0.05,12900355000.0,7.07106803666e-11,7.07106803666e-11,3
131,2025-12-08 13:13:50,-0.05,13000350000.0,7.07106803666e-11,7.07106803666e-11,3
132,2025-12-08 13:13:50,-0.05,13100345000.0,7.07106803666e-11,7.07106803666e-11,3
133,2025-12-08 13:13:50,-0.05,13200340000.0,7.07106803666e-11,7.07106803666e-11,3
134,2025-12-08 13:13:50,-0.05,13300335000.0,7.07106803666e-11,7.07106803666e-11,3
135,2025-12-08 13:13:50,-0.05,13400330000.0,7.07106803666e-11,7.07106803666e-11,3
136,2025-12-08 13:13:50,-0.05,13500325000.0,7.07106803666e-11,7.07106803666e-11,3
137,2025-12-08 13:13:50,-0.05,13600320000.0,7.07106803666e-11,7.07106803666e-11,3
138,2025-12-08 13:13:50,-0.05,13700315000.0,7.07106803666e-11,7.07106803666e-11,3
139,2025-12-08 13:13:50,-0.05,13800310000.0,7.07106803666e-11,7.07106803666e-11,3
140,2025-12-08 13:13:50,-0.05,13900305000.0,7.07106803666e-11,7.07106803666e-11,3
141,2025-12-08 13:13:50,-0.05,14000300000.0,7.07106803666e-11,7.07106803666e-11,3
142,2025-12-08 13:13:50,-0.05,14100295000.0,7.07106803666e-11,7.07106803666e-11,3
143,2025-12-08 13:13:50,-0.05,14200290000.0,7.07106803666e-11,7.07106803666e-11,3
144,2025-12-08 13:13:50,-0.05,14300285000.0,7.07106803666e-11,7.07106803666e-11,3
145,2025-12-08 13:13:50,-0.05,14400280000.0,7.07106803666e-11,7.07106803666e-11,3
146,2025-12-08 13:13:50,-0.05,14500275000.0,7.07106803666e-11,7.07106803666e-11,3
147,2025-12-08 13:13:50,-0.05,14600270000.0,7.07106803666e-11,7.07106803666e-11,3
148,2025-12-08 13:13:50,-0.05,14700265000.0,7.07106803666e-11,7.07106803666e-11,3
149,2025-12-08 13:13:50,-0.05,14800260000.0,7.07106803666e-11,7.07106803666e-11,3
150,2025-12-08 13:13:50,-0.05,14900255000.0,7.07106803666e-11,7.07106803666e-11,3
151,2025-12-08 13:13:50,-0.05,15000250000.0,7.07106803666e-11,7.07106803666e-11,3
152,2025-12-08 13:13:50,-0.05,15100245000.0,7.07106803666e-11,7.07106803666e-11,3
153,2025-12-08 13:13:50,-0.05,15200240000.0,7.07106803666e-11,7.07106803666e-11,3
154,2025-12-08 13:13:50,-0.05,15300235000.0,7.07106803666e-11,7.07106803666e-11,3
155,2025-12-08 13:13:50,-0.05,15400230000.0,7.07106803666e-11,7.07106803666e-11,3
156,2025-12-08 13:13:50,-0.05,15500225000.0,7.07106803666e-11,7.07106803666e-11,3
